Instrument,SEC_CODE
LP68424969,ASPGIPLUS-A
LP68424970,KFJPSCAP-A
LP68424971,KF-JPSCAPD
LP68425732,ONE-APACPROP-RD
LP68428010,ASPGIPLUS-R
LP68428894,LHSELECT-D
LP68429555,KF-HSMUS
LP68429570,BRRGIF
LP68430989,SCBWINA
LP68430993,SCBWINR
LP68432934,LHGINCOME-A
LP68432935,LHGINCOME-R
LP68432936,LHGINCOME-D
LP68432937,ASP-SME-A
LP68432938,ASP-FLEXPLUS
LP68432940,KFHAPPY-A
LP68432941,KWI APREIT-R
LP68433375,TISCOGIF-R
LP68433609,KWI APREIT-A
LP68434671,K-FIXEDPLUS-A
LP68435988,SCBFPP
LP68435989,SCBSETP
LP68435990,SCBPMOP
LP68435991,SCBMSEP
LP68435992,SCBDAP
LP68435993,SCBDVP
LP68435994,SCBTMFPLUS-P
LP68436299,KFMINCOM-R
LP68436926,SCBBANKINGP
LP68436927,SCBENERGYP
LP68438063,LHGLIFEE-D
LP68439011,M-SMART INCOME-AC
LP68439013,ASP-ROBOT
LP68439014,KFTHAICG
LP68439015,SCBROBOA
LP68439123,SCBAEMHA
LP68439319,M-SMART INCOME-AR
LP68440052,K-ALLBASIC
LP68440056,B-BHARATA
LP68440437,KT-GOI-A
LP68440711,TISESG-A
LP68440875,TLEQ-THAICG
LP68441499,TISTECH-A
LP68441523,ES-THAICG
LP68441688,SCBTHAICGA
LP68441691,SCBTHAICGP
LP68441699,T-PrimePlusAI
LP68441707,KFINDIA-A
LP68441855,B-THAICG
LP68442746,KTBTHAICG-A
LP68442750,LHTOPPICK-R
LP68442751,LHTOPPICK-D
LP68442752,LHTOPPICK-A
LP68442994,PRINCIPAL VNEQ-A
LP68442995,PRINCIPAL VNEQ-I
LP68442996,PRINCIPAL VNEQ-C
LP68444092,K-FITL
LP68444093,K-FITS
LP68444094,K-FITM
LP68444299,KFLTFSTARD
LP68444557,SCBSEP
LP68444737,SCBSET50P
LP68444866,UEMIF-A
LP68444867,UEMIF-N
LP68445148,K-STAR-A(A)
LP68445392,K-FITXL
LP68445609,KT25/75-R
LP68445614,KT25/75-A
LP68447902,ONE-GLOBHY-R
LP68447903,ONE-GLOBHY-I
LP68448824,PRINCIPAL iDAILY-I
LP68450538,SCBPOPA
LP68450541,SCBPOPP
LP68450999,GAHREIT
LP68451331,KFTSTAR-A
LP68451388,ASP-SMELTF-T
LP68452052,KKP G-UBOND-H
LP68452053,LHSTGLTF-A
LP68452058,ES-GPROP
LP68452072,LHSTGLTF-D
LP68455186,UTHAICG
LP68455383,LHINDIAE-D
LP68455385,TLDIVLTF-D
LP68455736,SCBMLTA
LP68455739,SCBMLTP
LP68455744,HIDIVLTF
LP68455746,TUSFIN-A
LP68455757,K-APB-A(A)
LP68457229,PRINCIPAL GFIXED
LP68458059,ONE-TOP5M
LP68458948,CPNREIT
LP68459205,DREIT
LP68459725,SMO5A1
LP68459729,AIMIRT
LP68460032,K-GINCOME-A(A)
LP68461795,SSTRT
LP68464912,K-USXNDQ-A(A)
LP68465293,TCHT5M2
LP68465386,ASP-VIET-A
LP68465804,B-SENIOR-X
LP68466578,SI5A4
LP68466610,LHROBOTE-D
LP68467391,BOFFICE
LP68467525,KT-GCINCOME-A
LP68467527,KT-GCINCOME-R
LP68469063,ONE-GLOBFIN-RA
LP68469064,ONE-GLOBFIN-IA
LP68469065,ONE-GLOBFIN-RD
LP68469066,ONE-GLOBFIN-ID
LP68469603,UDB-A
LP68469606,KFHEALTH-A
LP68469617,KFAINCOM-A
LP68469618,KFMINCOM-A
LP68469875,KT-IGF-A
LP68469878,SCBSFFPLUS-P
LP68471751,M-SELECTCG
LP68472796,PRINCIPAL GMV-A
LP68472798,PRINCIPAL GMV-C
LP68472799,SCBINCA
LP68472800,SCBINCR
LP68473418,ONE-INDIAOPP-RA
LP68473419,B-WORK
LP68473509,ONE-INDIAOPP-IA
LP68473510,ONE-INDIAOPP-RD
LP68473511,ONE-INDIAOPP-ID
LP68473655,B-CHINE-EQ
LP68473765,TISCOINA-A
LP68473807,TLDIVEQ-D
LP68473808,LHEME-D
LP68474270,KFACHINA-A
LP68474672,KFGROWTH-A
LP68474678,UDB-N
LP68476157,SCBFINR
LP68476158,SCBFINA
LP68476788,K-EUSMALL
LP68476792,ONE-VIETNAM-RA
LP68476801,GI5EM1
LP68477244,LHDIGITAL-A
LP68477245,ASP-DISRUPT
LP68477249,LHDIGITAL-R
LP68477250,LHDIGITAL-D
LP68478112,KFHASIA-A
LP68478113,KTMEE-A
LP68478114,KTMEE-D
LP68478117,KTSUK-A
LP68478118,KTSUK-D
LP68478121,KTMUNG-A
LP68478122,KTMUNG-D
LP68478125,KTSRI-A
LP68478126,KTSRI-D
LP68478369,1AMSET50-ID
LP68478379,1AMSET50-RU
LP68478762,SCBOPPA
LP68478763,SCBOPPR
LP68478787,ONE-EUROEQ
LP68481014,SCBBANKINGA
LP68481165,SCBLEQA
LP68481166,SCBLEQP
